gene_symbol,cortical plate,intermediate zone,marginal zone,subpial granular zone,subplate zone,subventricular zone,ventricular zone
ADCY5,14811,9504,19875,12695,15727,1120,1456
ADCY6,16601,9061,18681,11941,15237,2655,1611
ADCY7,10509,9422,10011,1346,3031,19490,16588
ADCY8,18321,14641,12282,5067,20200,2349,2838
ADCY9,15109,16273,19165,15055,6082,3936,532
ADCYAP1,16967,9045,14832,6987,2097,20017,2741
ADCYAP1R1,19919,4126,10769,4268,11184,15158,6929
ADD1,9970,2491,12047,8709,13431,14159,12093
ADD2,19272,12622,17369,522,15007,8809,5877
ADD3,24,15010,3874,18610,13245,14147,13762
ADGB,6195,19926,10897,10528,6885,7606,12701
ADH1A,12097,7764,10553,17055,7907,9138,6412
ADH1B,7480,11671,15179,11414,7913,14054,8784
ADH1C,4111,18326,19813,16616,8128,7649,1678
ADH4,5917,6866,3452,5743,5979,20757,15975
ADH5,4095,3101,3471,13365,1124,20094,19876
ADH6,15117,1228,2649,16794,14321,6398,11664
ADH7,9096,13237,6226,19000,6281,12951,3523
ADHFE1,1747,4915,2443,14496,4620,19697,19629
ADI1,6765,9190,12855,19818,16689,1059,3820
ADIG,6775,14492,6540,11219,5122,7324,19159
ADIPOQ,12501,19966,7483,8229,12213,3880,9431
ADIPOR1,13742,1295,5590,18232,18123,3244,7303
ADIPOR2,6356,2167,722,10800,10119,19875,18017
ADK,3891,3269,398,13786,9368,19742,18518
ADM,693,20311,5268,17570,7397,10882,12282
ADM2,13203,19304,16678,3868,18764,4601,1689
ADNP,8413,17399,10145,2787,14375,17105,7885
ADNP2,18002,1132,11947,837,14315,14494,13846
ADO,18115,12930,17546,3715,17230,5418,2585
ADORA1,14073,18607,12584,6035,20429,3128,1165
ADORA2A,389,20175,12566,18429,7664,9799,7797
ADORA2B,333,14578,11023,18531,4326,16102,11469
ADORA3,501,19052,7944,16451,10588,12846,11779
ADPGK,8816,3524,2298,11397,2236,17151,19745
ADPRH,8591,6739,15867,9083,13587,14034,7779
ADPRHL1,15994,1783,9594,4057,10390,17040,12348
ADPRHL2,19645,3525,369,6227,6712,16305,16066
ADRA1A,12674,6795,17756,1246,10213,11408,14281
ADRA1B,4682,15193,16543,13906,17785,11823,1106
ADRA1D,4630,7821,20141,19566,7481,3761,3491
ADRA2A,12019,20191,13398,1967,19069,11499,863
ADRA2B,9859,13416,11928,17804,7934,6041,5457
ADRA2C,4119,19495,19251,15872,12669,9267,147
ADRB1,8704,19323,15919,9610,18493,1339,4749
ADRB2,56,15366,8883,17902,6434,11677,16763
ADRB3,19634,11721,12530,7540,16243,5342,2864
ADRBK1,13683,7826,12078,8175,4278,17391,8721
ADRBK2,11410,15278,11142,13773,20620,1097,1168
ADRM1,20272,8386,15555,4375,14549,6416,4834
ADSL,11131,846,8507,7544,372,20168,18275
ADSS,19747,2272,15966,5510,16139,8401,5396
ADSSL1,1254,15143,1333,17709,2698,17660,16056
ADTRP,10036,19925,9656,9020,20566,1615,2522
AEBP1,2267,7131,2521,18668,837,16272,18299
AEBP2,8035,5240,23,10672,17576,15214,18088
AEN,7666,2904,11801,5786,1387,19601,18119
AES,9788,8418,19211,11004,7600,8179,9237
AFAP1,14524,16819,19802,10681,11007,1996,1644
AFAP1-AS1,11998,3814,15560,18179,7170,4625,6921
AFAP1L1,988,19406,11949,19825,5521,7864,7286
AFAP1L2,8092,17573,11559,19846,10863,3643,652
AFF1,2765,4736,8607,17934,153,18118,16580
AFF2,17977,10600,18947,7854,8487,8702,2690
AFF3,17898,16583,13364,1842,19158,4764,4399
AFF4,6815,1368,6954,15350,968,17397,17702
AFG3L1P,11561,137,10437,9858,8831,13072,17743
AFG3L2,17249,1244,4263,3713,17303,14254,13365
AFM,11177,6872,7581,15768,6516,10050,11978
AFMID,20531,454,3115,7542,8786,13684,14681
AFP,4361,20345,15628,17243,8379,4707,3375
AFTPH,15987,18088,11153,8316,20134,1397,1684
AGA,4044,4167,2111,15523,590,19432,19795
AGAP1,11076,15911,19452,8446,19939,1086,1340
AGAP11,16175,13026,9544,3757,16573,9041,8074
AGAP2,20080,15606,14445,1077,14332,8700,4469
AGAP3,16350,16442,18630,2516,17897,4743,1951
AGAP4,18137,11321,3568,2063,14111,13391,12121
AGAP9,16875,9946,11845,9915,12833,5902,7231
AGBL1,3446,6536,8762,5501,3449,19936,20135
AGBL2,6666,7923,9382,11755,696,11922,20448
AGBL3,17235,14726,11462,361,19448,5301,10018
AGBL4,17510,13180,9027,1838,17266,5337,11591
AGBL5,14097,12990,20522,10761,7815,1934,3841
AGER,4195,7717,12459,18213,419,15584,12656
AGFG1,18770,19566,850,11243,11148,1773,10804
AGFG2,4719,3800,797,12208,6366,19695,19570
AGGF1,7549,1656,6243,15173,10018,7804,18594
AGK,19574,1009,8595,4260,18332,10638,10041
AGL,16042,14558,10629,1707,20075,1484,11227
AGMAT,3338,13671,6482,14056,8185,11139,16689
AGMO,5404,6574,9998,20650,4469,5985,8928
AGPAT1,15713,17860,13069,6485,17788,4863,2152
AGPAT2,1750,4733,6748,19770,1314,12995,17205
AGPAT3,2483,16157,18398,9887,4676,12315,13884
AGPAT4,19265,14266,7854,9618,15937,7616,1944
AGPAT4-IT1,9860,3453,11236,9326,6866,15141,14580
AGPAT5,4641,15524,1753,4783,8123,18562,18492
AGPAT6,16123,9587,1866,528,17335,16451,13229
AGPAT9,4970,3089,8632,20569,2955,5073,14271
AGPHD1,6411,314,18283,19681,4679,8653,9681
AGPS,13519,9272,8761,16330,19932,360,4671
AGR2,6280,4475,9525,20769,6710,5776,7121
AGR3,13507,16080,5262,2426,7523,9261,17672
AGRN,19770,11552,16912,5288,12289,5080,4640
AGRP,7755,19283,19477,6199,15473,6627,2949
AGSK1,12568,10214,20668,2969,10681,9948,4597
AGT,2786,3587,12811,19499,2309,9305,15489
AGTPBP1,19424,11118,17000,6797,18699,864,3004
AGTR1,3294,6416,12320,20124,11448,9087,5883
AGTR2,2874,3237,17019,12858,19370,7599,11935
AGTRAP,1398,6726,3198,16309,2996,16963,20167
AGXT,17698,12275,17895,6059,5177,11302,5171
AGXT2,11495,8994,14139,8396,17184,11595,4435
AGXT2L1,15682,5222,3262,14094,17004,2542,12069
AGXT2L2,1094,7241,3023,18311,2062,17657,17822
AHCTF1,13377,6844,16129,3337,5264,14409,13353
AHCY,14738,743,20058,9612,380,11306,13507
AHCYL1,1715,15048,720,13667,4759,18534,18765
AHCYL2,5555,14974,3548,17270,3413,17710,9123
AHDC1,17788,18335,8352,6637,17670,6625,1852
AHI1,7123,6520,2376,4973,15399,14699,18750
AHNAK,2672,5180,8038,20505,2027,10312,13852
AHNAK2,17705,12618,19167,9696,16959,938,1016
AHR,15223,18273,11994,11530,19789,1746,350
AHRR,17469,15923,6370,4630,20199,5864,3953
AHSA1,20075,2692,3267,4387,17742,10810,11402
AHSA2,4124,5434,501,16365,5316,19198,17007
AHSG,4593,1106,18309,12521,3759,16855,14437
AHSP,115,14139,15402,19631,7474,9413,10572
AICDA,16059,7273,11534,7600,19726,3724,6851
AIDA,7020,1024,5912,12635,374,19722,19904
AIF1,369,16497,12313,19275,8419,10875,9245
AIF1L,198,12675,8432,15909,3141,18982,15955
AIFM1,18936,11050,17410,4414,18593,2660,3250
AIFM2,13557,3348,5477,10978,7037,10993,16323
AIFM3,2803,9668,1828,17987,9301,9526,17752
AIG1,16223,19307,6963,6228,19724,1828,4677
AIM1,6320,12869,6536,20491,7663,4954,6310
AIM1L,16287,16630,17468,12797,14291,793,1136
AIM2,9598,15261,19632,17825,9423,2271,651
AIMP1,1396,4088,16926,17006,5089,12288,15407
AIMP2,20403,7518,4660,3675,18841,9203,7592
AIP,12299,17208,18595,1721,12773,15030,2227
AIPL1,9895,7465,17762,14657,7362,9281,6909
AIRE,16103,7334,989,4218,11075,18073,13490
AJAP1,8012,20466,16120,14776,16834,617,914
AJUBA,822,7980,5433,16703,2206,17242,19129
AK1,18738,15566,16271,2370,17210,1387,6759
AK2,1589,9999,1681,15941,1815,19358,18796
AK3,4337,5722,6441,9406,1177,20392,18996
AK4,6513,14178,978,8075,5523,18076,17886
AK5,14007,10253,11338,1825,16990,8451,12633
AK7,6088,2850,1847,13897,7493,13043,20580
AK8,17440,6359,4865,2683,17602,5329,15770
AKAP1,12227,15167,17397,16068,18074,279,568
AKAP10,15472,1552,11451,8670,18833,5813,10137
AKAP11,14014,17100,19422,10478,14813,2653,423
AKAP12,1943,3347,13845,18466,1519,14436,15426
AKAP13,13824,18322,14955,7626,14468,10483,592
AKAP14,10011,19997,19285,1708,11514,10860,4143
AKAP17A,9172,14834,5647,17444,7267,8670,8779
AKAP3,5000,3355,5849,6900,7619,16492,20642
AKAP4,20758,4293,8949,5150,12454,7439,9728
AKAP5,3950,5458,12208,17208,14366,10581,9563
AKAP6,11813,19416,9803,4647,20416,5307,2940
AKAP7,11055,17176,13545,14785,20057,1368,372
AKAP8,7472,7478,1369,6042,4028,20277,19494
AKAP8L,16256,7578,2434,2521,13561,14481,14859
AKAP9,9612,18367,13722,15694,12366,2233,4308
AKD1,7962,20492,19706,12753,6379,9386,159
AKIP1,14526,5778,16042,18438,13311,2414,956
AKIRIN1,13343,13360,19693,82,11884,8333,12324
AKIRIN2,9314,11982,11562,7361,364,17773,14991
AKIRIN2-AS1,8985,15712,9358,11839,7276,11238,11099
AKNA,14736,14053,1189,11568,9276,13752,9891
AKNAD1,15096,1080,13230,6835,1307,12913,17975
AKR1A1,15216,6007,19232,406,14790,11733,9299
AKR1B1,15093,8329,2259,3653,12692,18526,11324
AKR1B10,15025,3774,6333,19053,5196,12745,3768
AKR1B15,7722,19619,5777,18384,2449,7349,8279
AKR1C1,18247,12506,13288,10928,16060,1723,3873
AKR1C2,13930,11141,7482,12809,1645,12252,12584
AKR1C3,18548,7474,11465,9012,13142,6097,7715
AKR1C4,19533,10646,13703,8197,16271,2924,4068
AKR1CL1,12696,11241,5510,13368,2763,14411,11566
AKR1D1,4527,18984,14356,16042,10440,11346,2632
AKR1E2,18740,13337,10665,3590,19973,5273,3709
AKR7A2,3039,3165,4736,17256,387,18332,19179
AKR7A2P1,9197,17154,4650,2544,4496,14250,19072
AKR7A3,4251,1471,5850,14645,553,19252,20185
AKR7L,3535,1960,6562,16256,317,18672,19578
AKT1,14427,1513,15127,610,7436,17221,15825
AKT1S1,6385,13252,8156,2346,6695,20644,14545
AKT2,4086,10272,14074,8559,1454,18880,15498
AKT3,12527,18267,19531,3573,16757,7768,742
AKTIP,19771,3496,10702,2200,14921,11607,10524
ALAD,15692,5302,7564,19011,9152,5553,4158
ALAS1,19880,9441,9861,4316,19555,6083,4389
ALAS2,15,15822,15501,18798,10257,10559,10413
ALB,19050,5735,11557,3994,16280,10928,6616
ALCAM,14355,14505,5700,17118,17192,395,4866
ALDH16A1,2683,8214,18672,13928,209,18309,13360
ALDH18A1,2021,13130,20334,15390,658,13729,9720
